id;Country;Name;Sector;;
;Spain;FLEET RENEWAL LOAN FOR SMES AND MIDCAPS SPAIN;Credit lines;;
;Finland;EC-EIB SME INITIATIVE FINLAND;Credit lines;;
;Spain;SCF LOAN FOR SMES AND MIDCAPS III;Credit lines;;
;Spain;SCF LOAN FOR SMES AND MIDCAPS III;Credit lines;;
;Italy;UNICREDIT AGRICULTURE LOAN FOR SMES AND MIDCAPS;Credit lines;;
;Italy;ITALIAN MEDIUM SIZED RENEWABLES FRAMEWORK LOAN;Energy;;
;Italy;ISP AGRICULTURE LOAN FOR SMES AND MIDCAPS;Credit lines;;
;Italy;ITALIAN MEDIUM SIZED RENEWABLES FRAMEWORK LOAN;Energy;;
;Greece;BEH IGB INTERCONNECTOR;Energy;;
;Bulgaria;BEH IGB INTERCONNECTOR;Energy;;
;;FATEN PALESTINE MICROFINANCE LOAN;Credit lines;;
;Romania;BUCHAREST S2 ENERGY EFFICIENCY;Industry;;
;Italy;CA ITALIA AGRICULTURE LOAN FOR SMES AND MIDCAPS;Credit lines;;
;Italy;POSTE ITALIANE AUTOMATISATION AND DIGITALISATION;Services;;
;Italy;MCTAA - LOAN FOR SMES AND MIDCAP;Credit lines;;
;Italy;CCR ALTO ADIGE LOAN FOR SMES AND MID-CAPS III;Credit lines;;
;Poland;LODZ URBAN RENEWAL;Urban development;;
;Lebanon;LEBANON PRIVATE SECTOR RESILIENCE FACILITY;Credit lines;;
;Lebanon;LEBANON PRIVATE SECTOR RESILIENCE FACILITY;Credit lines;;
;Germany;BERLIN FORSCHUNG III;Education;;
;Lithuania;VIPA ENERGY EFFICIENCY INVESTMENT PLATFORM SFSB;Credit lines;;
;Greece;INFRAFOF GR - EUROBANK ERGASIAS & ALPHA BANK;Credit lines;;
;Germany;BERLIN FORSCHUNG III;Services;;
;Greece;INFRAFOF GR - EUROBANK ERGASIAS & ALPHA BANK;Credit lines;;
;Austria;ESTAG NETWORK INVESTMENT AND GREEN LOAN;Energy;;
;Poland;POLAND SCIENCE & RESEARCH NATIONAL CENTRES V;Services;;
;Sweden;RDI FOR DOOR SOLUTIONS;Industry;;
;Austria;ESTAG NETWORK INVESTMENT AND GREEN LOAN;Energy;;
;France;SAARLB CLIMATE ACTION MBIL;Credit lines;;
;Germany;SAARLB CLIMATE ACTION MBIL;Energy;;
;Sweden;AFFORDABLE HOUSING IN SWEDEN;Urban development;;
;Austria;VOESTALPINE RDI AND ADVANCED MANUFACTURING;Industry;;
;Lebanon;ENERGY EFFICIENCY TELECOM LEBANON;Energy;;
;Lebanon;GLASS MANUFACTURING LEBANON - INTERMEDIATED LOAN;Industry;;
;France;SAARLB CLIMATE ACTION MBIL;Energy;;
;Germany;SAARLB CLIMATE ACTION MBIL;Credit lines;;
;France;ALD CLEAN TRANSPORT FLEET;Services;;
;Guinea;ENERGY EFFICIENCY TELECOM GUINEA;Energy;;
;Poland;WARSAW II METRO LINE EXTENSION;Transport;;
;Lebanon;LEBANON ROADS AND EMPLOYMENT PROJECT;Transport;;
;The Netherlands;ROTTERDAM ELECTRIC BUSES TRAM & METRO INFRA;Transport;;
;Greece;FLOOD PROTECTION MEASURES;Water, sewerage;;
;The Netherlands;ROTTERDAM ELECTRIC BUSES TRAM & METRO INFRA;Transport;;
;Poland;WROCLAW URBAN DEVELOPMENT;Urban development;;
;Belgium;UNIVERCELLS (IDFF);Services;;
;Germany;VIVAWEST ENERGY EFFICIENT BUILDINGS II;Industry;;
;Poland;PKO LEASING ABS LOAN FOR MICRO-SMES;Credit lines;;
;;SOUTHERN AFRICA AND INDIAN OCEAN SMERF;Credit lines;;
;Poland;PKO LEASING ABS LOAN FOR MICRO-SMES;Credit lines;;
;Poland;GDANSK MUNICIPAL INFRASTRUCTURE III;Urban development;;
;Poland;GDANSK MUNICIPAL INFRASTRUCTURE III;Transport;;
;;EIB-EIF SME FUNDS INVESTMENT FACILITY;Services;;
;;EIB-EIF SME FUNDS INVESTMENT FACILITY;Services;;
;Spain;SABADELL INNOVATION & DIGITALIZATION OF SMES;Credit lines;;
;Spain;SABADELL FOCUSED SUPPORT FOR SMES AND MIDCAPS;Credit lines;;
;Lithuania;VILNIUS URBAN INFRASTRUCTURE;Transport;;
;Spain;FMB METRO ROLLING STOCK;Transport;;
;Lithuania;VILNIUS URBAN INFRASTRUCTURE;Education;;
;Lithuania;VILNIUS URBAN INFRASTRUCTURE;Health;;
;Lithuania;VILNIUS URBAN INFRASTRUCTURE;Urban development;;
;Georgia;CRYSTAL MICROFINANCE;Credit lines;;
;Romania;UCL ROMANIA LOAN FOR SMES AND MIDCAPS III;Credit lines;;
;Italy;ALFASIGMA INNOVATIVE DRUGS RDI;Services;;
;The Netherlands;NWB BANK CLIMATE ACTION & WATER MANAGEMENT MBIL;Credit lines;;
;Poland;PKP INTERCITY COMPETITIVENESS PROGRAMME;Transport;;
;Serbia;E-80 HIGHWAY NIS-MERDARE PHASE I;Transport;;
;Serbia;E-80 HIGHWAY NIS-MERDARE PHASE I;Transport;;
;Sweden;STOCKHOLM METRO EXTENSION;Transport;;
;Seychelles;SOUTHERN AFRICA AND INDIAN OCEAN SMERF;Credit lines;;
;Austria;HYPO TIROL LOAN FOR SMES MIDCAPS OTHER PRIORITES;Credit lines;;
;Ireland;RCSI EDUCATION & RESEARCH BUILDING;Education;;
;Ireland;RCSI EDUCATION & RESEARCH BUILDING;Services;;
;Poland;BANK ZACHODNI ENHANCED SUPPORT FOR SMES&MID-CAPS;Credit lines;;
;France;BNPP ENERGY TRANSITION LOAN FOR SMES AND MIDCAPS;Credit lines;;
;The Netherlands;ING BANK LOAN SUSTAINABLE PROJECTS SMES&MIDCAPS;Credit lines;;
;Poland;WARSAW APPROACHES II (TEN-T);Transport;;
;Luxembourg;ING BANK LOAN SUSTAINABLE PROJECTS SMES&MIDCAPS;Credit lines;;
;Belgium;ING BANK LOAN SUSTAINABLE PROJECTS SMES&MIDCAPS;Credit lines;;
;Luxembourg;ING BANK LOAN SUSTAINABLE PROJECTS SMES&MIDCAPS;Credit lines;;
;Belgium;ING BANK LOAN SUSTAINABLE PROJECTS SMES&MIDCAPS;Credit lines;;
;The Netherlands;ING BANK LOAN SUSTAINABLE PROJECTS SMES&MIDCAPS;Credit lines;;
;United Kingdom;FAMILY MOSAIC;Urban development;;
;France;VALORISATION MATIERE & ENERGIE GRAND PARIS;Solid waste;;
;;EIB-EIF MIDCAP FUNDS INVESTMENT FACILITY;Services;;
;;EIB-EIF MIDCAP FUNDS INVESTMENT FACILITY;Services;;
;Poland;SZCZECIN MUNICIPAL INFRASTRUCTURE VI;Transport;;
;Poland;SZCZECIN MUNICIPAL INFRASTRUCTURE VI;Urban development;;
;Germany;FAZUA (EGFF);Industry;;
;Germany;FAZUA (EGFF);Industry;;
;France;RENEWABLE ENERGY RISK SHARING FRANCE II;Energy;;
;France;RENEWABLE ENERGY RISK SHARING FRANCE II;Energy;;
;Portugal;PORTUGAL WATER SUPPLY & SANITATION;Water, sewerage;;
;Italy;SNAM INFRASTRUCTURE UPGRADE;Energy;;
;Spain;FOF ES ANDALUCIA - GED INFRASTRUCTURE;Credit lines;;
;;EIB-EIF MIDCAP FUNDS INVESTMENT FACILITY;Services;;
;Spain;RENFE FEVE ROLLING STOCK NORTHERN SPAIN;Transport;;
;Italy;SELMABIPIEMME LOAN FOR SMES AND MIDCAPS;Credit lines;;
;France;PLAN SANTE FRANCE;Health;;
;Nigeria;NIGERIA PRIVATE ENTERPRISE FINANCE FACILITY;Credit lines;;
;;EIB-EIF MIDCAP FUNDS INVESTMENT FACILITY;Services;;
;Austria;RVS LOAN FOR SMES MIDCAPS & OTHER OBJECTIVES;Credit lines;;
;Spain;FOF ES ANDALUCIA - ARCANO CAPITAL;Credit lines;;
;Germany;RVS LOAN FOR SMES MIDCAPS & OTHER OBJECTIVES;Credit lines;;
;Montenegro;IDF LOAN FOR SMES & PRIORITY PROJECTS IV;Credit lines;;
;Italy;IREN CLIMATE ACTION & CIRCULAR ECONOMY LOAN;Solid waste;;
;Italy;IREN CLIMATE ACTION & CIRCULAR ECONOMY LOAN;Energy;;
;Italy;MARCEGAGLIA INNOVATION AND ENERGY EFFICIENCY;Industry;;
;Italy;SCHOOL UPGRADE INVESTMENT PLAN FRAMEWORK LOAN II;Education;;
;Spain;IBERCAJA LOAN FOR SMES & MIDCAPS IV;Credit lines;;
;;EIB-EIF SME FUNDS INVESTMENT FACILITY;Services;;
;;EIB-EIF SME FUNDS INVESTMENT FACILITY;Services;;
;Spain;LONG TERM CARE DEVELOPMENT INFRASTRUCTURE;Health;;
;Romania;WINNOW (EGFF);Services;;
;Romania;WINNOW (EGFF);Services;;
;Greece;LOAN FOR YOUTH EMPLOYMENT & FEMALE EMPOWERMENT;Credit lines;;
;Belarus;BELARUS TRANSPORT CONNECTIVITY;Transport;;
;Belarus;BELARUS UTILITY SERVICES MODERNIZATION;Water, sewerage;;
;New Caledonia;BCI SMALL ENTERPRISES AND REMOTE AREAS FACILITY;Credit lines;;
;Finland;SATO - ENERGY EFFICIENT BUILDINGS;Services;;
;India;PUNE METRO RAIL PROJECT;Transport;;
;The Netherlands;BOELS CONSTRUCTION EQUIPMENT;Services;;
;Belgium;BOELS CONSTRUCTION EQUIPMENT;Services;;
;China;JIANGXI WATER TRANSPORT I;Transport;;
;Spain;SIDENOR SPECIALTY STEEL CAPEX & RDI;Industry;;
;France;DERICHEBOURG RECYCLAGE&ECONOMIE CIRCULAIRE;Solid waste;;
;Greece;LOAN FOR YOUTH EMPLOYMENT & FEMALE EMPOWERMENT;Credit lines;;
;Senegal;SCALING SOLAR PV SENEGAL;Energy;;
;Ireland;CUBIC TELECOM (EGFF);Telecom;;
;Senegal;SCALING SOLAR PV SENEGAL;Energy;;
;Ireland;CUBIC TELECOM (EGFF);Telecom;;
;Italy;CDP MIDCAP LOAN;Credit lines;;
;Italy;ENEA - DIVERTOR TOKAMAK TEST FACILITY;Services;;
;Romania;BANCA TRANSILVANIA LOAN FOR SMES AND MIDCAPS;Credit lines;;
;Poland;POLISH ACADEMY OF SCIENCES III;Education;;
;Romania;BSTDB LOAN FOR SMES AND MID-CAPS;Credit lines;;
;Bulgaria;BSTDB LOAN FOR SMES AND MID-CAPS;Credit lines;;
;Greece;BSTDB LOAN FOR SMES AND MID-CAPS;Credit lines;;
;Poland;POLISH ACADEMY OF SCIENCES III;Services;;
;Greece;INFRAFOF GR - PIRAEUS;Credit lines;;
;Greece;INFRAFOF GR - PIRAEUS;Credit lines;;
;Spain;ICO INTERNATIONALISATION LOAN FOR SMES & MIDCAPS;Credit lines;;
;Serbia;MUNICIPAL INFRASTRUCTURE RESILIENCE FRAMEWORK;Water, sewerage;;
;France;MACHINE VISION (EGFF);Industry;;
;France;MACHINE VISION (EGFF);Industry;;
;Belgium;UNIVERSITE DE NAMUR RESEARCH EDUCATION INFRA;Education;;
;Spain;IBERDROLA NUNEZ DE BALBOA PV;Energy;;
;Spain;LANUZA WIND PROJECT;Energy;;
;Belgium;UNIVERSITE DE NAMUR RESEARCH EDUCATION INFRA;Services;;
;Dominican Republic;POST-DISASTER AND CLIMATE CHANGE RESILIENCE FL;Water, sewerage;;
;Poland;MBANK LOAN FOR SMES-MID CAPS AND CLIMATE ACTION;Credit lines;;
;Dominican Republic;POST-DISASTER AND CLIMATE CHANGE RESILIENCE FL;Urban development;;
;Germany;GEFA KMU DARLEHEN III;Credit lines;;
;Dominican Republic;POST-DISASTER AND CLIMATE CHANGE RESILIENCE FL;Transport;;
;Spain;LOAN FOR SMES & CLIMATE ACTION;Credit lines;;
;Sweden;ACAST (EGFF);Services;;
;Poland;SGEL PL LOAN FOR SMES AND MIDCAPS;Credit lines;;
;Romania;BUCHAREST POLYTECHNIC UNIVERSITY;Education;;
;Sweden;ACAST (EGFF);Services;;
;France;CREDIT AGRICOLE PRET POUR PMES ET MIDCAPS VI;Credit lines;;
;;EIB-EIF SME FUNDS INVESTMENT FACILITY;Services;;
;;EIB-EIF SME FUNDS INVESTMENT FACILITY;Services;;
;France;CREDIT AGRICOLE - SOUTIEN JEUNES AGRICULTEURS;Credit lines;;
;Austria;AFFORDABLE HOUSING HYPO NOE;Urban development;;
;France;CASA PME & MIDCAP AGRICULTURE & CLIMATE ACTION;Credit lines;;
;Sweden;CIMA (EGFF);Industry;;
;Poland;SCB POLAND SUPPORT FOR SMES AND MICROENTERPRISES;Credit lines;;
;Sweden;CIMA (EGFF);Industry;;
;Albania;LANA RIVER FRONT - URBAN REDEVELOPMENT;Urban development;;
;Albania;LANA RIVER FRONT - URBAN REDEVELOPMENT;Urban development;;
;Albania;LANA RIVER FRONT - URBAN REDEVELOPMENT;Water, sewerage;;
;France;BFCM PRET POUR PME ET ETI II;Credit lines;;
;Albania;LANA RIVER FRONT - URBAN REDEVELOPMENT;Water, sewerage;;
;Italy;FL REGIONE FRIULI INFRASTRUCTURE;Education;;
;Italy;FL REGIONE FRIULI INFRASTRUCTURE;Credit lines;;
;Italy;FL REGIONE FRIULI INFRASTRUCTURE;Urban development;;
;Slovakia;VUB SK MULTI-PURPOSE MBIL;Credit lines;;
;Italy;PIAGGIO RDI VEHICLE IMPROVEMENTS;Industry;;
;Spain;FLEET RENEWAL LOAN FOR SMES AND MIDCAPS SPAIN;Credit lines;;
;Denmark;VAEKSTFONDEN EQUITY CO-INVESTMENT PLATFORM;Credit lines;;
;France;RENAL TREATMENT (EGFF);Services;;
;France;RENAL TREATMENT (EGFF);Services;;
;;EIB-EIF SME FUNDS INVESTMENT FACILITY;Services;;
;;EIB-EIF SME FUNDS INVESTMENT FACILITY;Services;;
;;EIB-EIF SME FUNDS INVESTMENT FACILITY;Services;;
;Greece;LOAN FOR YOUTH EMPLOYMENT & FEMALE EMPOWERMENT;Credit lines;;
;Spain;EU FUNDS CO-FINANCING ANDALUCIA 2014-2020;Industry;;
;Spain;EU FUNDS CO-FINANCING ANDALUCIA 2014-2020;Energy;;
;Spain;EU FUNDS CO-FINANCING ANDALUCIA 2014-2020;Solid waste;;
;Romania;EC-EIB SME INITIATIVE ROMANIA;Credit lines;;
;France;CREDIT AGRICOLE - TRANSITION ENERGETIQUE MBIL;Credit lines;;
;The Netherlands;ISA PHARMACEUTICALS (IDFF);Services;;
;Spain;EU FUNDS CO-FINANCING ANDALUCIA 2014-2020;Water, sewerage;;
;Greece;LOAN FOR YOUTH EMPLOYMENT & FEMALE EMPOWERMENT;Credit lines;;
;Spain;EU FUNDS CO-FINANCING ANDALUCIA 2014-2020;Education;;
;Spain;EU FUNDS CO-FINANCING ANDALUCIA 2014-2020;Telecom;;
;Germany;ANAESTHETIC DRUG DEVELOPMENT (EGFF);Services;;
;Spain;EU FUNDS CO-FINANCING ANDALUCIA 2014-2020;Services;;
;Germany;ANAESTHETIC DRUG DEVELOPMENT (EGFF);Services;;
;;EIB-EIF SME FUNDS INVESTMENT FACILITY;Services;;
;France;CAMPUS UNIVERSITE DE TOULOUSE;Education;;
;Poland;TORUN URBAN INFRASTRUCTURE;Urban development;;
;Czech Republic;PILSEN PUBLIC TRANSPORT;Transport;;
;Poland;TORUN URBAN INFRASTRUCTURE;Transport;;
;Germany;NRW BANK GUTE SCHULE 2020;Education;;
;Spain;SANTANDER FOCUSED SUPPORT FOR SME & MIDCAPS 2019;Credit lines;;
;Lebanon;LEBANON PRIVATE SECTOR RESILIENCE FACILITY;Credit lines;;
;The Netherlands;AMSTERDAM AIRPORT SCHIPHOL CAPACITY EXPANSION;Transport;;
;Sweden;SG FINANS LEASING LOAN FOR SMES III;Credit lines;;
;Denmark;SG FINANS LEASING LOAN FOR SMES III;Credit lines;;
;Slovakia;SGEF CZ LOAN FOR SMES AND MIDCAPS VIII;Credit lines;;
;Czech Republic;SGEF CZ LOAN FOR SMES AND MIDCAPS VIII;Credit lines;;
;Italy;BBPM ENHANCED SME & MIDCAP SUPPORT;Credit lines;;
;Israel;BIONDVAX UNIVERSAL FLU VACCINE (IDFF);Services;;
;France;ECOSLOPS;Transport;;
;Romania;BCR LEASING LOAN FOR SMES & MIDCAPS;Credit lines;;
;Belgium;ECOSLOPS;Transport;;
;Germany;HELABA ENERGIE UMWELT UND MIDCAP GLOBALDARLEHEN;Credit lines;;
;Ireland;DUBLIN AIRPORT OPERATIONAL RESILIENCE UPGRADE;Transport;;
;Italy;BANCA MPS LOAN FOR SMES AND MIDCAPS;Credit lines;;
;Ireland;DUBLIN AIRPORT OPERATIONAL RESILIENCE UPGRADE;Services;;
;Sweden;MIDWAY ALIGNMENT VAASA UMEA FERRY;Transport;;
;Finland;MIDWAY ALIGNMENT VAASA UMEA FERRY;Transport;;
;France;MAUNA KEA TECHNOLOGIES (EGFF);Services;;
;France;MAUNA KEA TECHNOLOGIES (EGFF);Services;;
;Spain;LOAN FOR AGRICULTURAL SMES AND MIDCAPS SPAIN II;Credit lines;;
;Czech Republic;CESKA SME AND MIDCAP MEZZANINE ABS;Credit lines;;
;Austria;CITYJET REGIONAL ROLLING STOCK;Transport;;
;Tunisia;ENDA TAMWEEL;Credit lines;;
;France;EDUCATION BOUCHES-DU-RHONE;Education;;
;Brazil;LATAM SUSTAINABLE POWER GENERATION FL;Energy;;
;France;PLAN SANTE FRANCE;Health;;
;Cambodia;BAKHENG WATER SUPPLY PROJECT;Water, sewerage;;
;Finland;KONE INNOVATIVE PEOPLE FLOW RDI;Industry;;
;Kenya;KENYA AGRICULTURE VALUE CHAIN FACILITY;Credit lines;;
;Italy;KONE INNOVATIVE PEOPLE FLOW RDI;Industry;;
;Austria;VOESTALPINE RDI AND ADVANCED MANUFACTURING;Industry;;
;South Africa;NEDBANK PRIVATE SECTOR FACILITY 2;Credit lines;;
;Greece;ATHENS METRO D;Transport;;
;Ireland;SBCI BUSINESS SUPPORT INVESTMENT PLATFORM;Credit lines;;
;France;CAMPUS UPEM UNIVERSITE PARIS-EST;Education;;
;Ireland;SBCI BUSINESS SUPPORT INVESTMENT PLATFORM;Credit lines;;
;Cyprus;CYPRUS EU FUNDS CO-FINANCING 2014-2020;Water, sewerage;;
;Cyprus;CYPRUS EU FUNDS CO-FINANCING 2014-2020;Telecom;;
;Cyprus;CYPRUS EU FUNDS CO-FINANCING 2014-2020;Education;;
;Cyprus;CYPRUS EU FUNDS CO-FINANCING 2014-2020;Health;;
;Cyprus;CYPRUS EU FUNDS CO-FINANCING 2014-2020;Transport;;
;Cyprus;CYPRUS EU FUNDS CO-FINANCING 2014-2020;Credit lines;;
;Cyprus;CYPRUS EU FUNDS CO-FINANCING 2014-2020;Solid waste;;
;Cyprus;CYPRUS EU FUNDS CO-FINANCING 2014-2020;Urban development;;
;Cyprus;CYPRUS EU FUNDS CO-FINANCING 2014-2020;Services;;
;Italy;BANCA IFIS LOAN FOR SMES;Credit lines;;
;;TAALERI ENERGIA SOLARWIND FUND II;Energy;;
;Italy;ENGINEERING INNOVATIVE SOFTWARE DEVELOPMENT;Services;;
;;TAALERI ENERGIA SOLARWIND FUND II;Energy;;
;Italy;SNAM LNG CNG STATIONS;Energy;;
;Greece;LOAN FOR YOUTH EMPLOYMENT & FEMALE EMPOWERMENT;Credit lines;;
;France;HSBC FRANCE LOAN FOR SMES AND MIDCAPS;Credit lines;;
;Finland;OULU URBAN INFRASTRUCTURE II;Urban development;;
;Greece;LOAN FOR YOUTH EMPLOYMENT & FEMALE EMPOWERMENT;Credit lines;;
;;LEAPFROG EMERGING CONSUMER FUND III;Health;;
;;LEAPFROG EMERGING CONSUMER FUND III;Services;;
;Greece;INFRAFOF GR - NBG;Credit lines;;
;Greece;INFRAFOF GR - NBG;Credit lines;;
;Spain;ANIMAL HEALTH R&D SPAIN;Industry;;
;Italy;INTESA SANPAOLO MIDCAP LOAN V;Credit lines;;
;Belgium;RDI FOR SUSTAINABLE PRODUCTIVITY SOLUTIONS;Industry;;
;Italy;CARIPARMA LOAN FOR SMES AND MID-CAPS VII;Credit lines;;
;France;RESEAU DE CHALEUR GRENOBLE METROPOLE;Energy;;
;Italy;CDP CLIMATE CHANGE IP - MCI;Energy;;
;France;RDI FOR SUSTAINABLE PRODUCTIVITY SOLUTIONS;Industry;;
;Italy;UBI GROUP LOAN FOR SMES AND MID-CAPS III;Credit lines;;
;Italy;CDP CLIMATE CHANGE IP - MCI;Solid waste;;
;Italy;CDP CLIMATE CHANGE IP - MCI;Solid waste;;
;Italy;CDP CLIMATE CHANGE IP - MCI;Energy;;
;Italy;ISP LOAN FOR CIRCULAR ECONOMY;Credit lines;;
;Spain;TB CLEAN URBAN TRANSPORT FLEET RENEWAL;Transport;;
;Italy;UNICREDIT MIDCAP LOAN VII;Credit lines;;
;Italy;UNICREDIT MIDCAP LOAN VII;Credit lines;;
;Tajikistan;QAIROKKUM HPP CLIMATE RESILIENCE UPGRADE;Energy;;
;Dominican Republic;POST-DISASTER AND CLIMATE CHANGE RESILIENCE FL;Water, sewerage;;
;Dominican Republic;POST-DISASTER AND CLIMATE CHANGE RESILIENCE FL;Urban development;;
;Portugal;LISBON URBAN RENEWAL HOUSING CLIMATE FL;Water, sewerage;;
;France;CDC BIODIVERSITE (NCFF);Urban development;;
;;BREAKTHROUGH ENERGY EUROPE FUND;Services;;
;Portugal;LISBON URBAN RENEWAL HOUSING CLIMATE FL;Urban development;;
;France;CDC BIODIVERSITE (NCFF);Urban development;;
;Poland;A1 MOTORWAY TUSZYN CZESTOCHOWA (TEN-T);Transport;;
;Dominican Republic;POST-DISASTER AND CLIMATE CHANGE RESILIENCE FL;Transport;;
;Finland;HOIVATILAT CARE PREMISES;Health;;
;Hungary;STRUCTURAL FUNDS CO-FINANCING II (HU);Credit lines;;
;Hungary;STRUCTURAL FUNDS CO-FINANCING II (HU);Services;;
;Hungary;STRUCTURAL FUNDS CO-FINANCING II (HU);Telecom;;
;Hungary;STRUCTURAL FUNDS CO-FINANCING II (HU);Education;;
;The Netherlands;NOORDWEST HOSPITAL;Health;;
;Poland;PLK RAILWAY MODERNIZATION E59 POZNAN - SZCZECIN;Transport;;
;Hungary;STRUCTURAL FUNDS CO-FINANCING II (HU);Urban development;;
;Belgium;CHARLEROI HOSPITAL (GHDC);Health;;
;Greece;LOAN FOR YOUTH EMPLOYMENT & FEMALE EMPOWERMENT;Credit lines;;
;Austria;BITMOVIN (EGFF);Telecom;;
;France;GRENOBLE ALPES METROPOLE CLIMATE ACTION;Energy;;
;France;GRENOBLE ALPES METROPOLE CLIMATE ACTION;Transport;;
;;WEST & CENTRAL AFRICA PEFF;Credit lines;;
;Austria;BITMOVIN (EGFF);Telecom;;
;France;GRENOBLE ALPES METROPOLE CLIMATE ACTION;Water, sewerage;;
;Austria;AFFORDABLE HOUSING ERSTE BANK;Urban development;;
;The Netherlands;DIAKONESSENHUIS HOSPITAL;Health;;
;Zambia;ZAMBIA WATER AND SANITATION PROJECT;Water, sewerage;;
;The Netherlands;INTRINSIC ID (EGFF);Services;;
;The Netherlands;INTRINSIC ID (EGFF);Services;;
;Portugal;IFD LOAN FOR SMES AND MIDCAPS;Credit lines;;
;Turkey;MUNICIPAL RESILIENCE FACILITY I- MADAD FUND;Water, sewerage;;
;Finland;OULU UNIVERSITY HOSPITAL;Health;;
;Finland;MOBIDIAG (EGFF);Services;;
;Finland;MOBIDIAG (EGFF);Services;;
;Poland;RADOM MUNICIPAL INFRASTRUCTURE II;Urban development;;
;Poland;RADOM MUNICIPAL INFRASTRUCTURE II;Transport;;
;India;GEF SOUTH ASIA GROWTH FUND II;Water, sewerage;;
;Spain;BANCA MARCH ENHANCED SUPPORT FOR MIDCAPS;Credit lines;;
;Spain;BANCA MARCH ENHANCED SUPPORT FOR MIDCAPS;Credit lines;;
;India;GEF SOUTH ASIA GROWTH FUND II;Agriculture, fisheries, forestry;;
;Spain;CAIXABANK TECHNOLOGY & DIGITAL PLATFORMS;Services;;
;India;GEF SOUTH ASIA GROWTH FUND II;Energy;;
;Greece;IPTO CRETE ISLAND INTERCONNECTION PHASE I;Energy;;
;Sweden;RIKSHEM HOUSING ENERGY EFFICIENT RENOVATION SFSB;Industry;;
;Germany;ILB LOAN FOR SME AND MID-CAPS INNOVATION;Credit lines;;
;Austria;VIENNA SCHOOL PPP CAMPI ARON MENCZER AND ASPERN;Education;;
;Austria;VIENNA SCHOOL PPP CAMPI ARON MENCZER AND ASPERN;Education;;
;Serbia;MUNICIPAL INFRASTRUCTURE RESILIENCE FRAMEWORK;Water, sewerage;;
;Ukraine;AGRI-INFRASTRUCTURE AND BIOMASS POWER GENERATION;Industry;;
;Ukraine;AGRI-INFRASTRUCTURE AND BIOMASS POWER GENERATION;Agriculture, fisheries, forestry;;
;Ukraine;AGRI-INFRASTRUCTURE AND BIOMASS POWER GENERATION;Transport;;
;Ukraine;AGRI-INFRASTRUCTURE AND BIOMASS POWER GENERATION;Agriculture, fisheries, forestry;;
;Ukraine;AGRI-INFRASTRUCTURE AND BIOMASS POWER GENERATION;Industry;;
;Ukraine;AGRI-INFRASTRUCTURE AND BIOMASS POWER GENERATION;Transport;;
;Ukraine;AGRI-INFRASTRUCTURE AND BIOMASS POWER GENERATION;Energy;;
;Ukraine;AGRI-INFRASTRUCTURE AND BIOMASS POWER GENERATION;Energy;;
;Ecuador;TECHNICAL AND TECHNOLOGICAL INSTITUTES PROGRAMME;Education;;
;Germany;WBM BEZAHLBARES WOHNEN BERLIN;Urban development;;
;Croatia;RIJEKA GENERAL HOSPITAL (KBCRI);Health;;
;Croatia;HBOR LOAN FOR MIDCAPS & OTHER PRIORITIES II;Credit lines;;
;Greece;EU FUNDS CO-FINANCING 2014-2020 (GR);Industry;;
;Greece;EU FUNDS CO-FINANCING 2014-2020 (GR);Transport;;
;Greece;EU FUNDS CO-FINANCING 2014-2020 (GR);Credit lines;;
;Greece;EU FUNDS CO-FINANCING 2014-2020 (GR);Energy;;
;Greece;EU FUNDS CO-FINANCING 2014-2020 (GR);Education;;
;Greece;EU FUNDS CO-FINANCING 2014-2020 (GR);Water, sewerage;;
;Greece;EU FUNDS CO-FINANCING 2014-2020 (GR);Solid waste;;
;Greece;EU FUNDS CO-FINANCING 2014-2020 (GR);Services;;
;Greece;EU FUNDS CO-FINANCING 2014-2020 (GR);Urban development;;
;Greece;EU FUNDS CO-FINANCING 2014-2020 (GR);Health;;
;Poland;LEGNICA URBAN INFRASTRUCTURE;Transport;;
;Spain;VALENCIA CLEAN URBAN TRANSPORT FLEET RENEWAL;Transport;;
;Poland;LEGNICA URBAN INFRASTRUCTURE;Urban development;;
;Austria;RVS LOAN FOR SMES MIDCAPS & OTHER OBJECTIVES;Credit lines;;
;Germany;HESSEN MUNICIPAL INFRASTRUCTURE;Urban development;;
;Austria;AFFORDABLE HOUSING HYPO NOE;Urban development;;
;Germany;RVS LOAN FOR SMES MIDCAPS & OTHER OBJECTIVES;Credit lines;;
;Germany;RVS LOAN FOR SMES MIDCAPS & OTHER OBJECTIVES;Credit lines;;
;Austria;RVS LOAN FOR SMES MIDCAPS & OTHER OBJECTIVES;Credit lines;;
;Spain;AENA ENERGY EFFICIENCY INVESTMENT PLAN SFSB;Industry;;
;Germany;FUNDING CIRCLE P2P FACILITY;Credit lines;;
;Spain;AENA ENERGY EFFICIENCY INVESTMENT PLAN SFSB;Energy;;
;The Netherlands;FUNDING CIRCLE P2P FACILITY;Credit lines;;
;Serbia;PARTNERSHIP FOR LOCAL DEVELOPMENT;Composite infrastructure;;
;Serbia;PARTNERSHIP FOR LOCAL DEVELOPMENT;Urban development;;
;Belgium;OOSTERWEEL CONNECTION;Transport;;
;Spain;ADE LOAN FOR SMES & MIDCAPS;Credit lines;;
;;ACP SMALLHOLDER FINANCING FACILITY;Credit lines;;
;Cape Verde;CAPE VERDE CONNECTIVITY PROGRAMME;Energy;;
