id;Country;Name;Sector;;
;Belgium;ING BANK COVID19 ENHANCED SME AND MIDCAP SUPPORT;Credit lines;;
;Luxembourg;ING BANK COVID19 ENHANCED SME AND MIDCAP SUPPORT;Credit lines;;
;The Netherlands;ING BANK COVID19 ENHANCED SME AND MIDCAP SUPPORT;Credit lines;;
;Romania;DEUTSCHE LEASING COVID19 ACTION FOR SME;Credit lines;;
;;MERIDIAM GREEN IMPACT GROWTH FUND (GIGF);Energy;;
;Slovakia;SLSP ABS COVID19 RESPONSE FOR SME & MIDCAPS;Credit lines;;
;Germany;DE LAGE LANDEN L4SMES & MIDCAPS CLIMATE PL&DE II;Credit lines;;
;France;MERIDIAM GREEN IMPACT GROWTH FUND (GIGF);Energy;;
;;ACP MICROFINANCE FACILITY;Credit lines;;
;Poland;DE LAGE LANDEN L4SMES & MIDCAPS CLIMATE PL&DE II;Credit lines;;
;;WEST AFRICA MICROFINANCE FACILITY;Services;;
;Denmark;DEMANT - ADVANCED TECHNOLOGY HEARING AIDS RDI;Industry;;
;Bulgaria;BIOVET PESHTERA;Industry;;
;;DEMANT - ADVANCED TECHNOLOGY HEARING AIDS RDI;Industry;;
;France;EIB-CDC PLATFORM - CLEAN BUSES;Transport;;
;Italy;BC - COVID-19 LOAN FOR SMES AND MIDCAPS;Credit lines;;
;France;DEMANT - ADVANCED TECHNOLOGY HEARING AIDS RDI;Industry;;
;;SMALL-SCALE SOLAR PROGRAM IN SSA;Energy;;
;;ACP MICROFINANCE FACILITY;Credit lines;;
;Poland;DEMANT - ADVANCED TECHNOLOGY HEARING AIDS RDI;Industry;;
;Germany;EMSCHER RENATURIERUNG III;Water, sewerage;;
;Sweden;KAEPPALA WASTEWATER TREATMENT;Water, sewerage;;
;Italy;SMAT WATER NETWORK INVESTMENTS;Water, sewerage;;
;Germany;IDNOW (EGFF);Services;;
;Poland;PFR COVID-19 SUPPORT TO SMES IN POLAND;Credit lines;;
;Germany;IDNOW (EGFF);Services;;
;Germany;WOLFSBURG SOCIAL AND AFFORDABLE HOUSING;Urban development;;
;;INTERACT CLIMATE CHANGE FACILITY III;Credit lines;;
;Poland;BIELSKO BIALA URBAN INFRASTRUCTURE;Urban development;;
;Poland;BIELSKO BIALA URBAN INFRASTRUCTURE;Transport;;
;Czech Republic;CSOB LEASING CZ COVID19 RESPONSE FOR SME&MIDCAPS;Credit lines;;
;Germany;GEWOBA WOHNUNGSBAU BREMEN;Urban development;;
;Greece;PPC DISTRIBUTION VIII;Energy;;
;Denmark;DSB NEW TRAINS;Transport;;
;Germany;KOELN ABWASSER UND UMWELT II;Water, sewerage;;
;Côte d'Ivoire;UHURU GROWTH FUND I;Services;;
;Ghana;UHURU GROWTH FUND I;Services;;
;Nigeria;UHURU GROWTH FUND I;Services;;
;Italy;SIPCAM OXON AGRI-PRODUCTS DEVELOPMENT R&D;Industry;;
;Spain;AENA ENERGY EFFICIENCY INVESTMENT PLAN SFSB;Industry;;
;Spain;AENA SECURITY INVESTMENT PLAN;Transport;;
;Hungary;COVID-19 RESPONSE HUNGARY PUBLIC SECTOR;Health;;
;Poland;RADOM SUSTAINABLE DEVELOPMENT & COVID-19;Transport;;
;Poland;RADOM SUSTAINABLE DEVELOPMENT & COVID-19;Urban development;;
;France;ELDERLY AFFORDABLE ASSISTED LIVING FRANCE;Health;;
;Denmark;NOVOZYMES BIOTECHNOLOGY RDI;Industry;;
;Cyprus;CYPRUS GAS IMPORT FACILITY (CYPRUSGAS2EU);Energy;;
;Spain;WIND TECHNOLOGY RDI;Industry;;
;Spain;AENA ENERGY EFFICIENCY INVESTMENT PLAN SFSB;Energy;;
;Poland;BIALYSTOK MUNICIPAL INFRASTRUCTURE IV;Urban development;;
;;ARTIFICIAL INTELLIGENCE EIB-EIF CO-INVESTMENT;Services;;
;France;ELDERLY AFFORDABLE ASSISTED LIVING FRANCE;Urban development;;
;Belgium;MENTAL HEALTHCARE INFRASTRUCTURE IN BELGIUM;Health;;
;Ecuador;PORTOVIEJO WATER AND SANITATION;Water, sewerage;;
;Slovakia;ZKW AUTOMOTIVE LIGHTING RDI;Industry;;
;France;COLLECTIVITES FRANCE VS COVID 19 GRENOBLE;Urban development;;
;France;AB SCIENCE (COVID-19) (IDFF);Services;;
;Croatia;PBZ LOAN FOR SMES MIDCAPS AND OTHER PRIORITIES;Credit lines;;
;Benin;RIPOSTE SANITAIRE COVID-19 BENIN;Health;;
;Romania;CLUJ TECHNICAL UNIVERSITY;Education;;
;Romania;CLUJ TECHNICAL UNIVERSITY;Services;;
;Austria;ZKW AUTOMOTIVE LIGHTING RDI;Industry;;
;Germany;MANNHEIM SOCIAL AND AFFORDABLE HOUSING;Urban development;;
;Burkina Faso;ASSAINISSEMENT ET DRAINAGE DE OUAGADOUGOU;Water, sewerage;;
